hotelKey,chain,spiritCode,name_en,brand_en,regionCode,countryCode,city_en,rateWindowStartDate,rateWindowEndDate,rateWindowNights,officialDynamicRateAvailable,officialDynamicAverageRateLocal,officialDynamicAverageCurrency,officialDynamicAverageBasis,officialDynamicAverageSampleCount,taxInclusiveAverageRateLocal,preTaxAverageRateLocal,taxAndFeeAverageAmountLocal,taxAndFeeAverageRate,taxBreakdownAvailable,taxInclusiveRateKind,taxEstimateUsed,taxEstimateBasis,tax1Name,tax1Rate,tax1AmountLocal,tax2Name,tax2Rate,tax2AmountLocal,windowAverageRateLocal,windowPreTaxAverageRateLocal,windowMinRateLocal,windowMaxRateLocal,weekdayAverageRateLocal,weekendAverageRateLocal,weekdayPreTaxAverageRateLocal,weekendPreTaxAverageRateLocal,weekdaySampleCount,weekendSampleCount,currentOfficialLeadRateLocal,currentOfficialLeadRateFmt,rateStatus,rateSource,rateCaveat,fetchedAt,propertySiteURL_en
Aman:AMAN-aman-summer-palace,Aman,AMAN-aman-summer-palace,Aman Summer Palace,Aman,MAINLAND_CN,CN,Beijing,2026-05-25,2026-05-31,7,false,,CNY,not_available,0,,,,,false,,false,,,,,,,,,,,,,,,,0,0,,,adapter_pending_luxury_group_booking_flow,,"This luxury-group hotel list is present, but a date-specific official rate adapter has not been implemented yet. It remains in the snapshot output so coverage gaps are explicit.",2026-05-24T11:46:23.624Z,https://www.aman.com/resorts/aman-summer-palace
Aman:AMAN-amanfayun,Aman,AMAN-amanfayun,Amanfayun,Aman,MAINLAND_CN,CN,Hangzhou,2026-05-25,2026-05-31,7,false,,CNY,not_available,0,,,,,false,,false,,,,,,,,,,,,,,,,0,0,,,adapter_pending_luxury_group_booking_flow,,"This luxury-group hotel list is present, but a date-specific official rate adapter has not been implemented yet. It remains in the snapshot output so coverage gaps are explicit.",2026-05-24T11:46:23.624Z,https://www.aman.com/resorts/amanfayun
Aman:AMAN-amandayan,Aman,AMAN-amandayan,Amandayan,Aman,MAINLAND_CN,CN,Lijiang,2026-05-25,2026-05-31,7,false,,CNY,not_available,0,,,,,false,,false,,,,,,,,,,,,,,,,0,0,,,adapter_pending_luxury_group_booking_flow,,"This luxury-group hotel list is present, but a date-specific official rate adapter has not been implemented yet. It remains in the snapshot output so coverage gaps are explicit.",2026-05-24T11:46:23.624Z,https://www.aman.com/resorts/amandayan
Aman:AMAN-amanyangyun,Aman,AMAN-amanyangyun,Amanyangyun,Aman,MAINLAND_CN,CN,Shanghai,2026-05-25,2026-05-31,7,false,,CNY,not_available,0,,,,,false,,false,,,,,,,,,,,,,,,,0,0,,,adapter_pending_luxury_group_booking_flow,,"This luxury-group hotel list is present, but a date-specific official rate adapter has not been implemented yet. It remains in the snapshot output so coverage gaps are explicit.",2026-05-24T11:46:23.624Z,https://www.aman.com/resorts/amanyangyun
Four Seasons:FS-hongkong,Four Seasons,FS-hongkong,Four Seasons Hotel Hong Kong,Four Seasons,HK,HK,Hong Kong,2026-05-25,2026-05-31,7,false,,HKD,not_available,0,,,,,false,,false,,,,,,,,,,,,,,,,0,0,,,adapter_pending_luxury_group_booking_flow,,"This luxury-group hotel list is present, but a date-specific official rate adapter has not been implemented yet. It remains in the snapshot output so coverage gaps are explicit.",2026-05-24T11:46:23.624Z,https://www.fourseasons.com/hongkong/
Four Seasons:FS-beijing,Four Seasons,FS-beijing,Four Seasons Hotel Beijing,Four Seasons,MAINLAND_CN,CN,Beijing,2026-05-25,2026-05-31,7,false,,CNY,not_available,0,,,,,false,,false,,,,,,,,,,,,,,,,0,0,,,adapter_pending_luxury_group_booking_flow,,"This luxury-group hotel list is present, but a date-specific official rate adapter has not been implemented yet. It remains in the snapshot output so coverage gaps are explicit.",2026-05-24T11:46:23.624Z,https://www.fourseasons.com/beijing/
Four Seasons:FS-dalian,Four Seasons,FS-dalian,Four Seasons Hotel Dalian,Four Seasons,MAINLAND_CN,CN,Dalian,2026-05-25,2026-05-31,7,false,,CNY,not_available,0,,,,,false,,false,,,,,,,,,,,,,,,,0,0,,,adapter_pending_luxury_group_booking_flow,,"This luxury-group hotel list is present, but a date-specific official rate adapter has not been implemented yet. It remains in the snapshot output so coverage gaps are explicit.",2026-05-24T11:46:23.624Z,https://www.fourseasons.com/dalian/
Four Seasons:FS-guangzhou,Four Seasons,FS-guangzhou,Four Seasons Hotel Guangzhou,Four Seasons,MAINLAND_CN,CN,Guangzhou,2026-05-25,2026-05-31,7,false,,CNY,not_available,0,,,,,false,,false,,,,,,,,,,,,,,,,0,0,,,adapter_pending_luxury_group_booking_flow,,"This luxury-group hotel list is present, but a date-specific official rate adapter has not been implemented yet. It remains in the snapshot output so coverage gaps are explicit.",2026-05-24T11:46:23.624Z,https://www.fourseasons.com/guangzhou/
Four Seasons:FS-hangzhoucentre,Four Seasons,FS-hangzhoucentre,Four Seasons Hotel Hangzhou at Hangzhou Centre,Four Seasons,MAINLAND_CN,CN,Hangzhou,2026-05-25,2026-05-31,7,false,,CNY,not_available,0,,,,,false,,false,,,,,,,,,,,,,,,,0,0,,,adapter_pending_luxury_group_booking_flow,,"This luxury-group hotel list is present, but a date-specific official rate adapter has not been implemented yet. It remains in the snapshot output so coverage gaps are explicit.",2026-05-24T11:46:23.624Z,https://www.fourseasons.com/hangzhoucentre/
Four Seasons:FS-hangzhou,Four Seasons,FS-hangzhou,Four Seasons Hotel Hangzhou at West Lake,Four Seasons,MAINLAND_CN,CN,Hangzhou,2026-05-25,2026-05-31,7,false,,CNY,not_available,0,,,,,false,,false,,,,,,,,,,,,,,,,0,0,,,adapter_pending_luxury_group_booking_flow,,"This luxury-group hotel list is present, but a date-specific official rate adapter has not been implemented yet. It remains in the snapshot output so coverage gaps are explicit.",2026-05-24T11:46:23.624Z,https://www.fourseasons.com/hangzhou/
