spiritCode,name_en,name_zh,brand_en,brand_zh,brandKey,hotelStatus,propertyType,gpCategory,city_en,city_zh,province_en,province_zh,address1_en,address1_zh,zipcode,latitude,longitude,phone,propertySiteURL_en,propertySiteURL_zh,bookableDate,openDate,checkinTime,checkoutTime,nonSmoking
csxph,Park Hyatt Changsha,长沙柏悦酒店,Park Hyatt,柏悦酒店,PARK,FULLY_BOOKABLE,HYATT,4,Changsha,长沙,,,"Tower 2, Changsha IFS, 188 Jiefang West Road, Furong District",芙蓉区解放西路 188 号国金中心 T2 塔楼,410005,28.1924,112.9788,+86 731 8180 1234,https://www.hyatt.com/park-hyatt/en-US/csxph-park-hyatt-changsha,https://www.hyatt.com/park-hyatt/zh-CN/csxph-park-hyatt-changsha,2024-06-01,2024-06-01,03:00 PM,12:00 PM,true
sanph,Park Hyatt Sanya Sunny Bay Resort,三亚太阳湾柏悦酒店,Park Hyatt,柏悦酒店,PARK,FULLY_BOOKABLE,HYATT,6,Sanya,三亚,,,5 Sunny Bay Road,太阳湾路5号,572000,18.191,109.607,+86 898 8820 1234,https://www.hyatt.com/park-hyatt/en-US/sanph-park-hyatt-sanya,https://www.hyatt.com/park-hyatt/zh-CN/sanph-park-hyatt-sanya,,2015-02-01,03:00 PM,12:00 PM,true
shaph,Park Hyatt Shanghai,上海柏悦酒店,Park Hyatt,柏悦酒店,PARK,FULLY_BOOKABLE,HYATT,5,Shanghai,上海,,,"100 Century Avenue, Pudong",浦东新区世纪大道 100 号,200120,31.234683,121.507654,+86 21 6888 1234,https://www.hyatt.com/park-hyatt/en-US/shaph-park-hyatt-shanghai,https://www.hyatt.com/park-hyatt/zh-CN/shaph-park-hyatt-shanghai,,2008-09-01,03:00 PM,12:00 PM,true
ninph,Park Hyatt Ningbo Resort and Spa,宁波柏悦酒店,Park Hyatt,柏悦酒店,PARK,FULLY_BOOKABLE,HYATT,3,Ningbo,宁波,,,"188, Dayan Road, Dong Qian Lake",东钱湖大堰路 188 号,315123,29.768014,121.641687,+86 574 2888 1234,https://www.hyatt.com/park-hyatt/en-US/ninph-park-hyatt-ningbo-resort-and-spa,https://www.hyatt.com/park-hyatt/zh-CN/ninph-park-hyatt-ningbo-resort-and-spa,,2012-01-10,03:00 PM,12:00 PM,false
szxph,Park Hyatt Shenzhen,深圳柏悦酒店,Park Hyatt,柏悦酒店,PARK,FULLY_BOOKABLE,HYATT,5,Shenzhen,深圳,,,"5023 Yi Tian Road, Futian District",福田区益田路 5023 号,518033,22.532061,114.055464,+86 755 8829 1234,https://www.hyatt.com/park-hyatt/en-US/szxph-park-hyatt-shenzhen,https://www.hyatt.com/park-hyatt/zh-CN/szxph-park-hyatt-shenzhen,,2019-07-29,03:00 PM,12:00 PM,true
hanph,Park Hyatt Hangzhou,杭州柏悦酒店,Park Hyatt,柏悦酒店,PARK,FULLY_BOOKABLE,HYATT,5,Hangzhou,杭州,,,1366 Qianjiang Road,钱江路 1366 号,310020,30.254872,120.214312,+86 571 8696 1234,https://www.hyatt.com/park-hyatt/en-US/hanph-park-hyatt-hangzhou,https://www.hyatt.com/park-hyatt/zh-CN/hanph-park-hyatt-hangzhou,2016-09-30,2016-09-28,03:00 PM,12:00 PM,true
beiph,Park Hyatt Beijing,北京柏悦酒店,Park Hyatt,柏悦酒店,PARK,FULLY_BOOKABLE,HYATT,5,Beijing,北京,,,"2 Jianguomenwai Street, Chaoyang District",朝阳区建国门外大街 2 号,100022,39.907438,116.459364,+86 10 8567 1234,https://www.hyatt.com/park-hyatt/en-US/beiph-park-hyatt-beijing,https://www.hyatt.com/park-hyatt/zh-CN/beiph-park-hyatt-beijing,,2008-07-01,03:00 PM,12:00 PM,false
suzph,Park Hyatt Suzhou,苏州柏悦酒店,Park Hyatt,柏悦酒店,PARK,FULLY_BOOKABLE,HYATT,3,Suzhou,苏州,,,"69 Xizhou Road, Suzhou Industrial Park",苏州工业园区西洲路 69 号,215028,31.316125,120.71496,+86 512 8666 1234,https://www.hyatt.com/park-hyatt/en-US/suzph-park-hyatt-suzhou,https://www.hyatt.com/park-hyatt/zh-CN/suzph-park-hyatt-suzhou,2020-05-29,2020-05-29,03:00 PM,12:00 PM,false
guaph,Park Hyatt Guangzhou,广州柏悦酒店,Park Hyatt,柏悦酒店,PARK,FULLY_BOOKABLE,HYATT,5,Guangzhou,广州,,,"16 Huaxia Road, Zhujiang New Town, Tianhe District",天河区珠江新城华夏路 16 号,510623,23.118597,113.321602,+86 20 3769 1234,https://www.hyatt.com/park-hyatt/en-US/guaph-park-hyatt-guangzhou,https://www.hyatt.com/park-hyatt/zh-CN/guaph-park-hyatt-guangzhou,,2015-12-30,03:00 PM,12:00 PM,true
nbsph,Park Hyatt Changbaishan,长白山柏悦酒店,Park Hyatt,柏悦酒店,PARK,FULLY_BOOKABLE,HYATT,6,Changbaishan,长白山,,,Changbaishan International Resort,长白山国际度假村,134504,42.105555,127.503333,+86 439 698 1234,https://www.hyatt.com/park-hyatt/en-US/nbsph-park-hyatt-changbaishan,https://www.hyatt.com/park-hyatt/zh-CN/nbsph-park-hyatt-changbaishan,2014-06-01,2013-09-27,03:00 PM,12:00 PM,true
