spiritCode,name_en,name_zh,brand_en,brand_zh,brandKey,hotelStatus,propertyType,gpCategory,city_en,city_zh,province_en,province_zh,address1_en,address1_zh,zipcode,latitude,longitude,phone,propertySiteURL_en,propertySiteURL_zh,bookableDate,openDate,checkinTime,checkoutTime,nonSmoking
IHG-HKGLR,Crowne Plaza Hong Kong Causeway Bay,,Crowne Plaza,皇冠假日酒店,ihg-crowne-plaza,FULLY_BOOKABLE,Hotel,Hotel,Hong Kong,香港,,,"No.8 Leighton Road,Causeway Bay, Hong Kong, Hong Kong",,,22.276892,114.18252,852-3980-3800,https://www.ihg.com/crowneplaza/hotels/us/en/hong-kong/hkglr/hoteldetail,https://www.ihg.com/crowneplaza/hotels/cn/zh/hong-kong/hkglr/hoteldetail,,,,,
IHG-HKGCW,Holiday Inn Express Hong Kong Causeway Bay,,Holiday Inn Express,智选假日酒店,ihg-holiday-inn-express,FULLY_BOOKABLE,Hotel,Hotel,Hong Kong,香港,,,"No.33 Sharp Street East Causeway Bay, Hong Kong, Hong Kong",,,22.277838,114.18209,852-3558-6688,https://www.ihg.com/holidayinnexpress/hotels/us/en/hong-kong/hkgcw/hoteldetail,https://www.ihg.com/holidayinnexpress/hotels/cn/zh/hong-kong/hkgcw/hoteldetail,,,,,
IHG-HKGKK,Holiday Inn Express Hong Kong Kowloon CBD2,,Holiday Inn Express,智选假日酒店,ihg-holiday-inn-express,FULLY_BOOKABLE,Hotel,Hotel,Hong Kong,香港,,,"97 How Ming Street Kwun Tong, Kowloon, Hong Kong, Hong Kong",,,22.31275,114.22305,852-3890-2888,https://www.ihg.com/holidayinnexpress/hotels/us/en/hong-kong/hkgkk/hoteldetail,https://www.ihg.com/holidayinnexpress/hotels/cn/zh/hong-kong/hkgkk/hoteldetail,,,,,
IHG-HKGMK,Holiday Inn Express Hong Kong Mongkok,,Holiday Inn Express,智选假日酒店,ihg-holiday-inn-express,FULLY_BOOKABLE,Hotel,Hotel,Hong Kong,香港,,,"No.1 Dundas Street, Mongkok, Hong Kong, Hong Kong",,,22.314863,114.16727,852-2200-3888,https://www.ihg.com/holidayinnexpress/hotels/us/en/hong-kong/hkgmk/hoteldetail,https://www.ihg.com/holidayinnexpress/hotels/cn/zh/hong-kong/hkgmk/hoteldetail,,,,,
IHG-HKGKL,Holiday Inn Golden Mile Hong Kong,,Holiday Inn,假日酒店,ihg-holiday-inn,FULLY_BOOKABLE,Hotel,Hotel,Hong Kong,香港,,,"50 Nathan Road,Tsimshatsui, Kowloon, Hong Kong, Hong Kong",,,22.29677,114.17265,852-2369-3111,https://www.ihg.com/holidayinn/hotels/us/en/hong-kong/hkgkl/hoteldetail,https://www.ihg.com/holidayinn/hotels/cn/zh/hong-kong/hkgkl/hoteldetail,,,,,
IHG-HKGIN,Hotel Indigo Hong Kong Island,,Hotel Indigo,英迪格酒店,ihg-hotel-indigo,FULLY_BOOKABLE,Hotel,Hotel,Hong Kong,香港,,,"No. 246 Queen's Road East, Wanchai, Hong Kong, Hong Kong",,,22.274515,114.17324,852-3926-3888,https://www.ihg.com/hotelindigo/hotels/us/en/hong-kong/hkgin/hoteldetail,https://www.ihg.com/hotelindigo/hotels/cn/zh/hong-kong/hkgin/hoteldetail,,,,,
IHG-HKGHB,InterContinental Grand Stanford Hong Kong,,InterContinental,洲际酒店及度假村,ihg-intercontinental,FULLY_BOOKABLE,Hotel,Hotel,Hong Kong,香港,,,"No. 70 Mody Road, Tsimshatsui East, Kowloon, Hong Kong, Hong Kong",,,22.299494,114.17928,852-2721-5161,https://www.ihg.com/intercontinental/hotels/us/en/hong-kong/hkghb/hoteldetail,https://www.ihg.com/intercontinental/hotels/cn/zh/hong-kong/hkghb/hoteldetail,,,,,
IHG-HKGKH,Kimpton Tsim Sha Tsui Hong Kong,,Kimpton,金普顿酒店及餐厅,ihg-kimpton,FULLY_BOOKABLE,Hotel,Hotel,Hong Kong,香港,,,"11 Middle Road, Tsim Sha Tsui, Kowloon, Hong Kong, Hong Kong",,,22.29585,114.17368,,https://www.ihg.com/kimptonhotels/hotels/us/en/hong-kong/hkgkh/hoteldetail,https://www.ihg.com/kimptonhotels/hotels/cn/zh/hong-kong/hkgkh/hoteldetail,,,,,
IHG-HKGHC,Regent Hong Kong,,Regent,丽晶酒店及度假村,ihg-regent,FULLY_BOOKABLE,Hotel,Hotel,Hong Kong,香港,,,"18 Salisbury Road, Kowloon, Hong Kong, Hong Kong",,,22.29347,114.1741,852-2721-1211,https://www.ihg.com/regent/hotels/us/en/hong-kong/hkghc/hoteldetail,https://www.ihg.com/regent/hotels/cn/zh/hong-kong/hkghc/hoteldetail,,,,,
IHG-HKGSK,Vignette Collection WM Hotel Hong Kong,,Vignette Collection,Vignette Collection,ihg-vignette-collection,FULLY_BOOKABLE,Hotel,Hotel,Hong Kong,香港,,,"28 Wai Man Road, Sai Kung, New Territories, Hong Kong, Hong Kong",,,22.385523,114.275536,,https://www.ihg.com/vignettecollection/hotels/us/en/sai-kung/hkgsk/hoteldetail,https://www.ihg.com/vignettecollection/hotels/cn/zh/sai-kung/hkgsk/hoteldetail,,,,,
