chain,spiritCode,hotelCode,name_en,brand_en,regionCode,countryCode,city_en,rate_available,rate_source,rate_currency,rate_amount_local,rate_amount_fmt,rate_amount_source_value,rate_plan_code,rate_plan_name,rate_plan_desc,points_rate,propertySiteURL_en
IHG Hotels & Resorts,IHG-HKGLR,HKGLR,Crowne Plaza Hong Kong Causeway Bay,Crowne Plaza,HK,HK,Hong Kong,false,ihg_destination_pages_no_amount,HKD,,,,,,,,https://www.ihg.com/crowneplaza/hotels/us/en/hong-kong/hkglr/hoteldetail
IHG Hotels & Resorts,IHG-HKGCW,HKGCW,Holiday Inn Express Hong Kong Causeway Bay,Holiday Inn Express,HK,HK,Hong Kong,false,ihg_destination_pages_no_amount,HKD,,,,,,,,https://www.ihg.com/holidayinnexpress/hotels/us/en/hong-kong/hkgcw/hoteldetail
IHG Hotels & Resorts,IHG-HKGKK,HKGKK,Holiday Inn Express Hong Kong Kowloon CBD2,Holiday Inn Express,HK,HK,Hong Kong,false,ihg_destination_pages_no_amount,HKD,,,,,,,,https://www.ihg.com/holidayinnexpress/hotels/us/en/hong-kong/hkgkk/hoteldetail
IHG Hotels & Resorts,IHG-HKGMK,HKGMK,Holiday Inn Express Hong Kong Mongkok,Holiday Inn Express,HK,HK,Hong Kong,false,ihg_destination_pages_no_amount,HKD,,,,,,,,https://www.ihg.com/holidayinnexpress/hotels/us/en/hong-kong/hkgmk/hoteldetail
IHG Hotels & Resorts,IHG-HKGKL,HKGKL,Holiday Inn Golden Mile Hong Kong,Holiday Inn,HK,HK,Hong Kong,false,ihg_destination_pages_no_amount,HKD,,,,,,,,https://www.ihg.com/holidayinn/hotels/us/en/hong-kong/hkgkl/hoteldetail
IHG Hotels & Resorts,IHG-HKGIN,HKGIN,Hotel Indigo Hong Kong Island,Hotel Indigo,HK,HK,Hong Kong,false,ihg_destination_pages_no_amount,HKD,,,,,,,,https://www.ihg.com/hotelindigo/hotels/us/en/hong-kong/hkgin/hoteldetail
IHG Hotels & Resorts,IHG-HKGHB,HKGHB,InterContinental Grand Stanford Hong Kong,InterContinental,HK,HK,Hong Kong,false,ihg_destination_pages_no_amount,HKD,,,,,,,,https://www.ihg.com/intercontinental/hotels/us/en/hong-kong/hkghb/hoteldetail
IHG Hotels & Resorts,IHG-HKGKH,HKGKH,Kimpton Tsim Sha Tsui Hong Kong,Kimpton,HK,HK,Hong Kong,false,ihg_destination_pages_no_amount,HKD,,,,,,,,https://www.ihg.com/kimptonhotels/hotels/us/en/hong-kong/hkgkh/hoteldetail
IHG Hotels & Resorts,IHG-HKGHC,HKGHC,Regent Hong Kong,Regent,HK,HK,Hong Kong,false,ihg_destination_pages_no_amount,HKD,,,,,,,,https://www.ihg.com/regent/hotels/us/en/hong-kong/hkghc/hoteldetail
IHG Hotels & Resorts,IHG-HKGSK,HKGSK,Vignette Collection WM Hotel Hong Kong,Vignette Collection,HK,HK,Hong Kong,false,ihg_destination_pages_no_amount,HKD,,,,,,,,https://www.ihg.com/vignettecollection/hotels/us/en/sai-kung/hkgsk/hoteldetail
IHG Hotels & Resorts,IHG-AKUKH,AKUKH,Holiday Inn Express Aksu,Holiday Inn Express,MAINLAND_CN,CN,Aksu,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/holidayinnexpress/hotels/us/en/aksu/akukh/hoteldetail
IHG Hotels & Resorts,IHG-BAVXC,BAVXC,Holiday Inn Resort Kanas Hemu,Holiday Inn Resort,MAINLAND_CN,CN,Altay,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/holidayinnresorts/hotels/us/en/xinjiang/bavxc/hoteldetail
IHG Hotels & Resorts,IHG-KJIKA,KJIKA,Hotel Indigo Kanas Hemu,Hotel Indigo,MAINLAND_CN,CN,Altay,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/hotelindigo/hotels/us/en/xinjiang/kjika/hoteldetail
IHG Hotels & Resorts,IHG-HGHAJ,HGHAJ,Hotel Indigo Anji,Hotel Indigo,MAINLAND_CN,CN,Anji,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/hotelindigo/hotels/us/en/anji/hghaj/hoteldetail
IHG Hotels & Resorts,IHG-AOGDT,AOGDT,Holiday Inn Express Anshan Downtown,Holiday Inn Express,MAINLAND_CN,CN,Anshan,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/holidayinnexpress/hotels/us/en/anshan/aogdt/hoteldetail
IHG Hotels & Resorts,IHG-BVQBJ,BVQBJ,Holiday Inn Express Baoding Downtown,Holiday Inn Express,MAINLAND_CN,CN,Baoding,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/holidayinnexpress/hotels/us/en/baoding/bvqbj/hoteldetail
IHG Hotels & Resorts,IHG-BVNXA,BVNXA,voco Xiong'An,voco,MAINLAND_CN,CN,Baoding,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/voco/hotels/us/en/baoding/bvnxa/hoteldetail
IHG Hotels & Resorts,IHG-SIABC,SIABC,Crowne Plaza Baoji City Center,Crowne Plaza,MAINLAND_CN,CN,Baoji,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/crowneplaza/hotels/us/en/baoji/siabc/hoteldetail
IHG Hotels & Resorts,IHG-BJASC,BJASC,Holiday Inn Baoji Central,Holiday Inn,MAINLAND_CN,CN,Baoji,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/holidayinn/hotels/us/en/baoji/bjasc/hoteldetail
IHG Hotels & Resorts,IHG-SIABJ,SIABJ,Holiday Inn Express Baoji City Centre,Holiday Inn Express,MAINLAND_CN,CN,Baoji,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/holidayinnexpress/hotels/us/en/baoji/siabj/hoteldetail
IHG Hotels & Resorts,IHG-BZXCT,BZXCT,Holiday Inn Express Bazhong Center,Holiday Inn Express,MAINLAND_CN,CN,Bazhong,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/holidayinnexpress/hotels/us/en/bazhong/bzxct/hoteldetail
IHG Hotels & Resorts,IHG-BZXPC,BZXPC,Holiday Inn Express Pingchang,Holiday Inn Express,MAINLAND_CN,CN,Bazhong,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/holidayinnexpress/hotels/us/en/bazhong/bzxpc/hoteldetail
IHG Hotels & Resorts,IHG-BHYHI,BHYHI,Crowne Plaza Beihai Silver Beach,Crowne Plaza,MAINLAND_CN,CN,Beihai,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/crowneplaza/hotels/us/en/beihai/bhyhi/hoteldetail
IHG Hotels & Resorts,IHG-BHYSB,BHYSB,Holiday Inn Beihai Silver Beach,Holiday Inn,MAINLAND_CN,CN,Beihai,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/holidayinn/hotels/us/en/beihai/bhysb/hoteldetail
IHG Hotels & Resorts,IHG-BHYBS,BHYBS,Holiday Inn Express Beihai Silver Beach,Holiday Inn Express,MAINLAND_CN,CN,Beihai,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/holidayinnexpress/hotels/us/en/beihai/bhybs/hoteldetail
IHG Hotels & Resorts,IHG-BHYBR,BHYBR,HUALUXE Beihai Silver Beach Resort,HUALUXE,MAINLAND_CN,CN,Beihai,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/hotels/us/en/beihai/bhybr/hoteldetail
IHG Hotels & Resorts,IHG-BJSBD,BJSBD,Crowne Plaza Beijing Badaling,Crowne Plaza,MAINLAND_CN,CN,Beijing,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/crowneplaza/hotels/us/en/beijing/bjsbd/hoteldetail
IHG Hotels & Resorts,IHG-PEGUT,PEGUT,Crowne Plaza Beijing Chaoyang U-Town,Crowne Plaza,MAINLAND_CN,CN,Beijing,false,ihg_destination_pages_no_amount,CNY,,,,,,,,https://www.ihg.com/crowneplaza/hotels/us/en/beijing/pegut/hoteldetail
