spiritCode,name_en,name_zh,brand_en,brand_zh,brandKey,hotelStatus,propertyType,gpCategory,city_en,city_zh,province_en,province_zh,address1_en,address1_zh,zipcode,latitude,longitude,phone,propertySiteURL_en,propertySiteURL_zh,bookableDate,openDate,checkinTime,checkoutTime,nonSmoking
the-leading-hotels-of-the-world-the-murray-hong-kong-a-niccolo-hotel,"The Murray Hong Kong, a Niccolo Hotel",香港美利酒店,Niccolo,尼依格罗,niccolo,FULLY_BOOKABLE,Hotel,Luxury,Hong Kong,香港,Hong Kong,香港,"22 Cotton Tree Drive, Central, Hong Kong",香港中环红棉路22号,,22.2784,114.1604,,https://www.lhw.com/hotel/The-Murray-Hong-Kong-A-Niccolo-Hotel-Hong-Kong-China,https://www.lhw.cn/domestic,,,,,
the-leading-hotels-of-the-world-the-puxuan-hotel-and-spa,The PuXuan Hotel and Spa,北京璞瑄酒店,The PuXuan,璞瑄,the-puxuan,FULLY_BOOKABLE,Hotel,Luxury,Beijing,北京,Beijing,北京,"No.1 WangFuJing Street, Dongcheng District Beijing, China 100006",北京市东城区王府井大街1号,,39.9234,116.4103,,https://www.lhw.com/hotel/PuXuan-Hotel-Spa-Beijing-China,https://www.lhw.cn/domestic,,,,,
the-leading-hotels-of-the-world-guanyin-yiyuntai-hotel-chengdu,Guanyin Yiyuntai Hotel Chengdu,成都观隐颐云台酒店,Guanyin Yiyuntai,观隐颐云台,guanyin-yiyuntai,FULLY_BOOKABLE,Hotel,Luxury,Chengdu,成都,Sichuan,四川,"38 - 39 Kuan Alley, Qingyang District, Chengdu 610015, P. R. China",四川省成都市青羊区宽窄巷子宽巷子38-39号,,30.6684,104.056,,https://www.lhw.com/hotel/Guanyin-Yiyuntai-Hotel-Chengdu-China,https://chengdu.diaoyutai-hotels.cn/,,,,,
the-leading-hotels-of-the-world-pushine-jinfoshan-resort-hotel,Pushine Jinfoshan Resort Hotel,樸鄉金佛山度假酒店,Pushine,樸鄉,pushine,FULLY_BOOKABLE,Hotel,Luxury,Chongqing,重庆,Chongqing,重庆,"North Slope of Jinfo Mountain, Jinfoshan National Scenic Area, Nanchuan District, Chongqing, China 408400",重庆市南川区金佛山北坡景区,,29.044,107.185,,https://www.lhw.com/hotel/Pushine-Jinfoshan-Resort-Hotel-Chongqing-China,https://www.lhw.cn/domestic,,,,,
the-leading-hotels-of-the-world-pearl-gallery-hotel-guiyang,Pearl Gallery Hotel Guiyang,贵阳珍珀酒店,Pearl Gallery,珍珀,pearl-gallery,FULLY_BOOKABLE,Hotel,Luxury,Guiyang,贵阳,Guizhou,贵州,"Building 4, Ayunduocang, No. 6 Changling North Road, Guanshanhu District, Guiyang, Guizhou, China 550081",贵州省贵阳市观山湖区长岭北路6号阿云朵仓4号栋,,26.6503,106.6366,,https://www.lhw.com/hotel/Pearl-Gallery-Hotel-Guiyang-Guiyang-China,https://www.lhw.cn/hotel/China-Pearl-Gallery-Hotel-Guiyang/50179,,,,,
the-leading-hotels-of-the-world-hylla-vintage-hotel,Hylla Vintage Hotel,物与岚 . 设计收藏酒店,Hylla Vintage Hotel,物与岚,hylla-vintage-hotel,FULLY_BOOKABLE,Hotel,Luxury,Lijiang,丽江,Yunnan,云南,"99 Yanjiao Village, Baisha Town, Lijiang City, Yunnan province",云南省丽江市玉龙纳西族自治县白沙镇岩脚村99号,,26.9662,100.2096,,https://www.lhw.com/hotel/Hylla-Vintage-Hotel-Lijiang-China,https://www.lhw.cn/hotel/China-Hylla-Vintage-Hotel/LW2877,,,,,
the-leading-hotels-of-the-world-capella-shanghai-jian-ye-li,"Capella Shanghai, Jian Ye Li",上海建业里嘉佩乐酒店,Capella,嘉佩乐,capella,FULLY_BOOKABLE,Hotel,Luxury,Shanghai,上海,Shanghai,上海,"480 West Jianguo Road, Xuhui District, Shanghai, China 200031",上海市徐汇区建国西路480号,,31.2059,121.4517,,https://www.lhw.com/hotel/Capella-Shanghai-Jian-Ye-Li-Shanghai-China,https://www.lhw.cn/hotel/Capella-Shanghai-Jian-Ye-Li/6583,,,,,
the-leading-hotels-of-the-world-j-hotel-shanghai-tower,"J Hotel, Shanghai Tower",上海中心J酒店,J Hotel,J酒店,j-hotel,FULLY_BOOKABLE,Hotel,Luxury,Shanghai,上海,Shanghai,上海,"No. 126 Dong Tai Road, Pudong New Area, Shanghai, 200120, China",上海市浦东新区东泰路126号上海中心大厦,,31.2357,121.5016,,https://www.lhw.com/hotel/J-Hotel-Shanghai-Tower-Shanghai-China,https://www.jhotelshanghai.com/pc,,,,,
the-leading-hotels-of-the-world-the-anandi-hotel-and-spa,The Anandi Hotel and Spa,上海阿纳迪酒店,The Anandi,阿纳迪,the-anandi,FULLY_BOOKABLE,Hotel,Luxury,Shanghai,上海,Shanghai,上海,"7 Linhong Road, Changning District, Shanghai, 200335, China",上海市长宁区临虹路7号,,31.2219,121.367,,https://www.lhw.com/hotel/Anandi-Hotel-Spa-Hongquiao-Shanghai-China,https://www.lhw.cn/hotel/The-Anandi-Hotel-and-Spa/7050,,,,,
the-leading-hotels-of-the-world-the-puli-shanghai,The PuLi Shanghai,上海璞丽酒店,The PuLi,璞丽,the-puli,FULLY_BOOKABLE,Hotel,Luxury,Shanghai,上海,Shanghai,上海,"1 Changde Road, JingAn District, Shanghai 200040 China",上海市静安区常德路1号,,31.2267,121.4491,,https://www.lhw.com/hotel/The-PuLi-Hotel-Spa-Shanghai-China,https://www.lhw.cn/domestic,,,,,
