id,chain,brand_name,display_name,local_name,region,city,district,formatted_address,lat_wgs84,lng_wgs84,lat_gcj02,lng_gcj02,official_url,osm_type,osm_id,wikidata_qid,source_count,confidence_score,needs_review,review_reason
hotel_f75b97a8da3240f0,hyatt,Alila,Alila,Alila,,待确认,,,31.2292009,121.4577925,31.227298275709792,121.46236350839732,,node,12540989054,,1,0.83,true,"missing_official_url,missing_city_region"
hotel_8718157e384a6d3b,hyatt,Andaz,南京河西安达仕酒店,南京河西安达仕酒店,,待确认,,,31.9951609,118.7156131,31.993115955833787,118.72080620384781,,node,11656778569,,1,0.83,true,"missing_official_url,missing_city_region"
hotel_0aa3382c55f6c701,hyatt,Andaz,Andaz,Andaz,,待确认,,,24.4743917,118.1051386,24.471746453579083,118.11010856672506,,node,13734656001,,1,0.83,true,"missing_official_url,missing_city_region"
hotel_4bfa1a41995304ef,hyatt,Grand Hyatt,成都群光君悦酒店,成都群光君悦酒店,四川省,成都市,锦江区,四川省成都市锦江区春熙路南段8,30.656196,104.0741107,30.65378433561828,104.07663199618528,https://www.hyatt.com/zh-CN/hotel/china/grand-hyatt-chengdu/ctugh,node,12125884018,,1,0.91,false,
hotel_117b36c39fdbcd87,hyatt,Grand Hyatt,大连君悦酒店,大连君悦酒店,,待确认,,,38.8776193,121.5795283,38.87837630621918,121.58447687445556,,way,423083194,,1,0.83,true,"missing_official_url,missing_city_region"
hotel_a195530afbfbbc8b,hyatt,Grand Hyatt,富力君悦大酒店,富力君悦大酒店,,待确认,,,23.1248079,113.3180462,23.122201346227605,113.32345544506612,https://guangzhou.grand.hyatt.com/zh-Hans/hotel/home.html,way,299812753,,1,0.91,false,missing_city_region
hotel_c3ea89a46c4bae02,hyatt,Grand Hyatt,合肥君悦酒店,合肥君悦酒店,,待确认,,,31.8020137,117.2262228,31.80001860070474,117.23170391022437,,node,7249760469,,1,0.83,true,"missing_official_url,missing_city_region"
hotel_e3bc9e7e3db52aff,hyatt,Grand Hyatt,三亚海棠湾君悦酒店,三亚海棠湾君悦酒店,,待确认,,,18.3459199,109.7357849,18.344217770394973,109.73994109323685,,way,524255113,,1,0.83,true,"missing_official_url,missing_city_region"
hotel_87822a087729906f,hyatt,Grand Hyatt,长沙君悦酒店,长沙君悦酒店,,待确认,,,28.1925964,112.9656761,28.18914658152368,112.97119595424552,,node,12669362201,,1,0.83,true,"missing_official_url,missing_city_region"
hotel_9d11658d54147b86,hyatt,Grand Hyatt,中天凯悦酒店,中天凯悦酒店,,待确认,,,26.6445963,106.6388818,26.64093901355239,106.64246866581642,,way,671094666,,1,0.83,true,"missing_official_url,missing_city_region"
hotel_ccea423d88452fd3,hyatt,Grand Hyatt,Grand Hyatt,Grand Hyatt,,待确认,,,41.7755505,123.4279171,41.77798166332351,123.43405290869997,,node,2246482587,,1,0.83,true,"missing_official_url,missing_city_region"
hotel_06cb75227648c8c7,hyatt,Grand Hyatt,Grand Hyatt Changsha,,,待确认,,,28.194533,112.976851,28.191113237207926,112.98240844306468,,,,Q111405080,1,0.85,true,"missing_official_url,missing_city_region"
hotel_463806c05dd841ac,hyatt,Grand Hyatt,Grand Hyatt Hefei,,,待确认,,,31.805831,117.236895,31.803828125941735,117.2423725886569,,,,Q111405276,1,0.85,true,"missing_official_url,missing_city_region"
hotel_d6996e862a437fb2,hyatt,Grand Hyatt,Grand Hyatt Xi'an,,,待确认,,,34.198009,108.887115,34.19636673409142,108.8916929568555,,,,Q111404920,1,0.85,true,"missing_official_url,missing_city_region"
hotel_9e7ef70f2f432b4d,hyatt,Grand Hyatt,北京东方君悦大酒店,北京东方君悦大酒店,,东城区,,东城区,39.9084504,116.4084428,39.90985368142604,116.41468519924155,https://beijing.grand.hyatt.com/,node,3071751947,Q1812590,2,0.93,true,"missing_official_url,missing_city_region"
