spiritCode,name_en,name_zh,brand_en,brand_zh,brandKey,hotelStatus,propertyType,gpCategory,city_en,city_zh,province_en,province_zh,address1_en,address1_zh,zipcode,latitude,longitude,phone,propertySiteURL_en,propertySiteURL_zh,bookableDate,openDate,checkinTime,checkoutTime,nonSmoking
AATFI,Fairfield By Marriott Altay City,阿勒泰市万豪万枫酒店,Fairfield Inn & Suites,万枫酒店,FI,OPENING_SOON,hotel,,Altay,阿勒泰,Xinjiang,新疆,"District7, No.215, Tuanjie Road",团结路215号7区,836500,47.822784,88.125639,+86 906 210 8888,https://www.marriott.com/en-us/hotels/aatfi-fairfield-altay-city/overview/,https://www.marriott.com.cn/zh-cn/hotels/aatfi-fairfield-altay-city/overview/,,2026-10-31,15:00,12:00,true
AATJP,Four Points by Sheraton Altay City,阿勒泰市福朋喜来登酒店,Four Points by Sheraton,福朋喜来登酒店,FP,FULLY_BOOKABLE,hotel,,Altay,阿勒泰,Xinjiang,新疆,"District7, No.215, Tuanjie Road",团结路215号7区,836500,47.82277,88.12562,+86 906 211 1111,https://www.marriott.com/en-us/hotels/aatjp-four-points-altay-city/overview/,https://www.marriott.com.cn/zh-cn/hotels/aatjp-four-points-altay-city/overview/,,2026-04-28,15:00,12:00,true
HGHAJ,JW Marriott Hotel Zhejiang Anji,浙江安吉 JW 万豪酒店,JW Marriott,JW万豪酒店,JW,FULLY_BOOKABLE,resort,,Anji,安吉,Zhejiang,浙江,No 1 Raocheng South Line,绕城南线 1 号,313300,30.614168,119.707498,+86 572 561 8888,https://www.marriott.com/en-us/hotels/hghaj-jw-marriott-hotel-zhejiang-anji/overview/,https://www.marriott.com.cn/zh-cn/hotels/hghaj-jw-marriott-hotel-zhejiang-anji/overview/,,2015-05-18,15:00,12:00,true
AVAHU,"Four Points by Sheraton Anshun, Huangguoshu",安顺黄果树福朋喜来登酒店,Four Points by Sheraton,福朋喜来登酒店,FP,FULLY_BOOKABLE,hotel,,Anshun,安顺,Guizhou,贵州,"230 Boyuan Road, Guizhou Province",贵州省博园路 230 号,561000,26.00319,105.687964,+86 851 3227 7777,https://www.marriott.com/en-us/hotels/avahu-four-points-anshun-huangguoshu/overview/,https://www.marriott.com.cn/zh-cn/hotels/avahu-four-points-anshun-huangguoshu/overview/,,2025-01-18,15:00,12:00,false
LHWFB,Fairfield by Marriott Baiyin Downtown,白银万枫酒店,Fairfield Inn & Suites,万枫酒店,FI,FULLY_BOOKABLE,hotel,,Baiyin,白银,Gansu,甘肃,"No. 189 Fangzhi Road, Baiyin District",白银区纺织路 189 号,,36.5439214,104.158976,+86 943 883 5666,https://www.marriott.com/en-us/hotels/lhwfb-fairfield-baiyin-downtown/overview/,https://www.marriott.com.cn/zh-cn/hotels/lhwfb-fairfield-baiyin-downtown/overview/,,2021-12-31,15:00,12:00,false
SJWFI,Fairfield by Marriott Baoding High-Tech Zone,保定高新区万枫酒店,Fairfield Inn & Suites,万枫酒店,FI,FULLY_BOOKABLE,hotel,,Baoding,保定,Hebei,河北,"No.9, Huaguang Road, High-Tech Development Zone",高新区华光路 9 号,071000,38.924279,115.445072,+86 312 595 5588,https://www.marriott.com/en-us/hotels/sjwfi-fairfield-baoding-high-tech-zone/overview/,https://www.marriott.com.cn/zh-cn/hotels/sjwfi-fairfield-baoding-high-tech-zone/overview/,,2020-06-18,14:00,14:00,false
BJSXF,Fairfield by Marriott Xiong'an,雄安万豪万枫酒店,Fairfield Inn & Suites,万枫酒店,FI,FULLY_BOOKABLE,hotel,,Baoding,保定,Hebei,河北,"Wucheng Road, Yanling Street, Xiong'an",雄安鄢陵街坞城路,070001,39.034087,115.95357,+86 312 567 6666,https://www.marriott.com/en-us/hotels/bjsxf-fairfield-xiongan/overview/,https://www.marriott.com.cn/zh-cn/hotels/bjsxf-fairfield-xiongan/overview/,,2025-08-21,14:00,12:00,true
BAVMC,Baotou Marriott Hotel,包头茂业万豪酒店,Marriott Hotels & Resorts,万豪酒店,MC,FULLY_BOOKABLE,hotel,,Baotou,包头,Nei Mongol,内蒙古,"31 Gang Tie Street, Kundulun District",昆都仑区钢铁大街 31 号,014010,40.65797,109.836734,+86 472 622 8888,https://www.marriott.com/en-us/hotels/bavmc-baotou-marriott-hotel/overview/,https://www.marriott.com.cn/zh-cn/hotels/bavmc-baotou-marriott-hotel/overview/,,2021-01-09,15:00,12:00,false
BHYMC,Beihai Marriott Resort,北海万豪度假酒店,Marriott Hotels & Resorts,万豪酒店,MC,FULLY_BOOKABLE,resort,,Beihai,北海,Guangxi,广西,"No.118 Yintan Third Road, YinHai District Guangxi Zhuang Autonomous",广西壮族自治区银海区银滩三号路 118 号,536000,21.4041598,109.159084,+86 779 687 7777,https://www.marriott.com/en-us/hotels/bhymc-beihai-marriott-resort/overview/,https://www.marriott.com.cn/zh-cn/hotels/bhymc-beihai-marriott-resort/overview/,,2024-12-21,15:00,12:00,true
BHYSI,Sheraton Beihai Resort,北海喜来登度假酒店,Sheraton,喜来登酒店,SI,FULLY_BOOKABLE,resort,,Beihai,北海,Guangxi,广西,"Seaview Avenue, Yinhai District, Guangxi Zhuang Autonomous Region",广西壮族自治区银海区海景大道,536009,21.442713,109.052101,+86 779 866 6666,https://www.marriott.com/en-us/hotels/bhysi-sheraton-beihai-resort/overview/,https://www.marriott.com.cn/zh-cn/hotels/bhysi-sheraton-beihai-resort/overview/,,2023-04-28,15:00,12:00,true
BJSHL,Aloft Beijing Huairou,北京怀柔雅乐轩酒店,Aloft Hotels,雅乐轩酒店,AL,FULLY_BOOKABLE,hotel,,Beijing,北京,,,"Building No 3, Compound No 9, Yong Le North 2 Street, Huairou District",怀柔区永乐北二街 9 号院 3 号楼,101407,40.381652,116.690116,+86 10 5673 6666,https://www.marriott.com/en-us/hotels/bjshl-aloft-beijing-huairou/overview/,https://www.marriott.com.cn/zh-cn/hotels/bjshl-aloft-beijing-huairou/overview/,,2024-01-31,15:00,12:00,true
BJSAL,"Aloft Beijing, Haidian",北京海淀雅乐轩酒店,Aloft Hotels,雅乐轩酒店,AL,FULLY_BOOKABLE,hotel,,Beijing,北京,Beijing,北京,"Tower 2 No. 25 Yuanda Road, Haidian District",海淀区远大路 25 号 2 座,100097,39.95803,116.279068,+86 10 8889 8000,https://www.marriott.com/en-us/hotels/bjsal-aloft-beijing-haidian/overview/,https://www.marriott.com.cn/zh-cn/hotels/bjsal-aloft-beijing-haidian/overview/,,2008-11-01,15:00,12:00,true
BJSBG,Bvlgari Hotel Beijing,北京宝格丽酒店,Bvlgari,宝格丽,BG,FULLY_BOOKABLE,hotel,,Beijing,北京,,,"Building 2 Courtyard No 8 Xinyuan South Road, Chaoyang District",朝阳区新源南路 8 号院 2 号楼,100027,39.948417,116.457333,+86 10 8555 8555,https://www.marriott.com/en-us/hotels/bjsbg-bvlgari-hotel-beijing/overview/,https://www.marriott.com.cn/zh-cn/hotels/bjsbg-bvlgari-hotel-beijing/overview/,,2017-09-25,15:00,12:00,true
BJSYC,Courtyard By Marriott Beijing Yanqing,北京延庆万怡酒店,Courtyard,万怡酒店,CY,OPENING_SOON,hotel,,Beijing,北京,,,"Yard No 92, Xincheng Street, Yanqing District",延庆区新城街 92 号院,102100,40.47638,115.98379,+86 10 5786 6666,https://www.marriott.com/en-us/hotels/bjsyc-courtyard-beijing-yanqing/overview/,https://www.marriott.com.cn/zh-cn/hotels/bjsyc-courtyard-beijing-yanqing/overview/,,2026-06-01,15:00,12:00,false
BJSBP,Courtyard by Marriott Beijing Changping,北京未来科学城万怡酒店,Courtyard,万怡酒店,CY,FULLY_BOOKABLE,hotel,,Beijing,北京,Beijing,北京,"101 No.2 Building Binhe Road, Changping District",昌平区滨河路 101 号 2 座,102200,40.126542,116.480346,+86 10 8975 9999,https://www.marriott.com/en-us/hotels/bjsbp-courtyard-beijing-changping/overview/,https://www.marriott.com.cn/zh-cn/hotels/bjsbp-courtyard-beijing-changping/overview/,,2023-10-17,15:00,12:00,true
BJSHE,Element Beijing Huairou,北京怀柔源宿酒店,Element Hotels,源宿酒店,EL,OPENING_SOON,hotel,,Beijing,北京,Beijing,北京,"No.1576, 460 Jingjia Road, Huabei Town, Huairou District",怀柔区怀北镇京加路460号1576,101407,40.375127,116.696568,,https://www.marriott.com/en-us/hotels/bjshe-element-beijing-huairou/overview/,https://www.marriott.com.cn/zh-cn/hotels/bjshe-element-beijing-huairou/overview/,,2026-07-01,15:00,12:00,true
BJSPE,Fairfield by Marriott Beijing Capital Airport,北京首都机场万豪万枫酒店,Fairfield Inn & Suites,万枫酒店,FI,FULLY_BOOKABLE,hotel,,Beijing,北京,Beijing,北京,"No.17 Fuqian First Street, Shunyi District",顺义区府前一街17号,101312,40.0619347,116.5784488,+86 10 6458 5888,https://www.marriott.com/en-us/hotels/bjspe-fairfield-beijing-capital-airport/overview/,https://www.marriott.com.cn/zh-cn/hotels/bjspe-fairfield-beijing-capital-airport/overview/,,2025-11-22,15:00,12:00,true
